,time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection
11080112,2020-09-21T00:38:58.900,24.43,19.07,0.02,0.02,0.01,93.28,31.61,None,33234.0,Matthew Slater,18.0,WR,away,1,2020092013,519,left
11080113,2020-09-21T00:38:59.000,24.43,19.07,0.02,0.02,0.0,93.28,29.52,None,33234.0,Matthew Slater,18.0,WR,away,2,2020092013,519,left
11080114,2020-09-21T00:38:59.100,24.42,19.06,0.01,0.01,0.01,93.28,27.38,None,33234.0,Matthew Slater,18.0,WR,away,3,2020092013,519,left
11080115,2020-09-21T00:38:59.200,24.43,19.06,0.01,0.01,0.0,93.28,30.82,None,33234.0,Matthew Slater,18.0,WR,away,4,2020092013,519,left
11080116,2020-09-21T00:38:59.300,24.43,19.06,0.01,0.01,0.01,91.91,36.28,None,33234.0,Matthew Slater,18.0,WR,away,5,2020092013,519,left
11080117,2020-09-21T00:38:59.400,24.43,19.07,0.01,0.01,0.01,87.76,30.25,None,33234.0,Matthew Slater,18.0,WR,away,6,2020092013,519,left
11080118,2020-09-21T00:38:59.500,24.43,19.07,0.01,0.01,0.0,87.76,30.15,None,33234.0,Matthew Slater,18.0,WR,away,7,2020092013,519,left
11080119,2020-09-21T00:38:59.600,24.43,19.06,0.01,0.01,0.01,86.7,32.04,None,33234.0,Matthew Slater,18.0,WR,away,8,2020092013,519,left
11080120,2020-09-21T00:38:59.700,24.43,19.06,0.0,0.01,0.0,86.7,32.91,None,33234.0,Matthew Slater,18.0,WR,away,9,2020092013,519,left
11080121,2020-09-21T00:38:59.800,24.43,19.05,0.0,0.01,0.0,85.37,41.62,None,33234.0,Matthew Slater,18.0,WR,away,10,2020092013,519,left
11080122,2020-09-21T00:38:59.900,24.44,19.05,0.04,0.46,0.01,83.64,106.06,ball_snap,33234.0,Matthew Slater,18.0,WR,away,11,2020092013,519,left
11080123,2020-09-21T00:39:00.000,24.45,19.05,0.19,1.32,0.01,82.89,107.9,None,33234.0,Matthew Slater,18.0,WR,away,12,2020092013,519,left
11080124,2020-09-21T00:39:00.100,24.48,19.04,0.46,2.96,0.03,82.89,105.32,None,33234.0,Matthew Slater,18.0,WR,away,13,2020092013,519,left
11080125,2020-09-21T00:39:00.200,24.55,19.02,0.88,3.25,0.07,81.97,103.18,None,33234.0,Matthew Slater,18.0,WR,away,14,2020092013,519,left
11080126,2020-09-21T00:39:00.300,24.67,18.99,1.36,3.47,0.12,81.97,102.89,None,33234.0,Matthew Slater,18.0,WR,away,15,2020092013,519,left
11080127,2020-09-21T00:39:00.400,24.83,18.96,1.83,3.49,0.17,76.33,101.47,None,33234.0,Matthew Slater,18.0,WR,away,16,2020092013,519,left
11080128,2020-09-21T00:39:00.500,25.04,18.92,2.22,3.22,0.21,75.51,101.65,None,33234.0,Matthew Slater,18.0,WR,away,17,2020092013,519,left
11080129,2020-09-21T00:39:00.600,25.28,18.86,2.61,2.95,0.25,75.51,102.42,None,33234.0,Matthew Slater,18.0,WR,away,18,2020092013,519,left
11080130,2020-09-21T00:39:00.700,25.56,18.78,2.96,2.65,0.29,73.46,104.65,None,33234.0,Matthew Slater,18.0,WR,away,19,2020092013,519,left
11080131,2020-09-21T00:39:00.800,25.86,18.69,3.25,2.33,0.31,70.52,106.96,None,33234.0,Matthew Slater,18.0,WR,away,20,2020092013,519,left
11080132,2020-09-21T00:39:00.900,26.18,18.58,3.45,1.92,0.34,67.42,109.01,None,33234.0,Matthew Slater,18.0,WR,away,21,2020092013,519,left
11080133,2020-09-21T00:39:01.000,26.51,18.46,3.61,1.53,0.35,64.21,110.76,None,33234.0,Matthew Slater,18.0,WR,away,22,2020092013,519,left
11080134,2020-09-21T00:39:01.100,26.83,18.32,3.62,1.28,0.35,52.56,114.12,None,33234.0,Matthew Slater,18.0,WR,away,23,2020092013,519,left
11080135,2020-09-21T00:39:01.200,27.16,18.16,3.66,1.38,0.36,44.62,117.17,None,33234.0,Matthew Slater,18.0,WR,away,24,2020092013,519,left
11080136,2020-09-21T00:39:01.300,27.48,17.98,3.64,1.33,0.36,35.69,119.42,None,33234.0,Matthew Slater,18.0,WR,away,25,2020092013,519,left
11080137,2020-09-21T00:39:01.400,27.78,17.8,3.52,1.44,0.35,24.73,121.67,extra_point_attempt,33234.0,Matthew Slater,18.0,WR,away,26,2020092013,519,left
11080138,2020-09-21T00:39:01.500,28.07,17.62,3.4,1.56,0.34,16.18,123.71,None,33234.0,Matthew Slater,18.0,WR,away,27,2020092013,519,left
11080139,2020-09-21T00:39:01.600,28.34,17.43,3.24,1.71,0.33,5.83,125.87,None,33234.0,Matthew Slater,18.0,WR,away,28,2020092013,519,left
11080140,2020-09-21T00:39:01.700,28.59,17.24,3.06,1.91,0.31,354.04,128.95,None,33234.0,Matthew Slater,18.0,WR,away,29,2020092013,519,left
11080141,2020-09-21T00:39:01.800,28.82,17.05,2.88,1.95,0.3,345.13,130.98,None,33234.0,Matthew Slater,18.0,WR,away,30,2020092013,519,left
11080142,2020-09-21T00:39:01.900,29.02,16.86,2.71,1.92,0.28,337.11,133.02,None,33234.0,Matthew Slater,18.0,WR,away,31,2020092013,519,left
11080143,2020-09-21T00:39:02.000,29.21,16.68,2.55,1.8,0.26,329.42,134.67,None,33234.0,Matthew Slater,18.0,WR,away,32,2020092013,519,left
11080144,2020-09-21T00:39:02.100,29.39,16.5,2.39,1.68,0.25,320.38,135.77,None,33234.0,Matthew Slater,18.0,WR,away,33,2020092013,519,left
11080145,2020-09-21T00:39:02.200,29.55,16.34,2.22,1.6,0.23,313.71,136.46,None,33234.0,Matthew Slater,18.0,WR,away,34,2020092013,519,left
11080146,2020-09-21T00:39:02.300,29.7,16.19,2.03,1.57,0.21,309.58,135.44,None,33234.0,Matthew Slater,18.0,WR,away,35,2020092013,519,left
11080147,2020-09-21T00:39:02.400,29.84,16.06,1.87,1.54,0.19,305.39,133.02,None,33234.0,Matthew Slater,18.0,WR,away,36,2020092013,519,left
11080148,2020-09-21T00:39:02.500,29.98,15.94,1.74,1.43,0.18,303.01,131.28,None,33234.0,Matthew Slater,18.0,WR,away,37,2020092013,519,left
11080149,2020-09-21T00:39:02.600,30.11,15.83,1.64,1.29,0.17,301.36,129.74,None,33234.0,Matthew Slater,18.0,WR,away,38,2020092013,519,left
11080150,2020-09-21T00:39:02.700,30.23,15.73,1.54,1.17,0.16,301.36,127.49,None,33234.0,Matthew Slater,18.0,WR,away,39,2020092013,519,left
11080151,2020-09-21T00:39:02.800,30.35,15.64,1.46,0.98,0.15,302.21,126.15,None,33234.0,Matthew Slater,18.0,WR,away,40,2020092013,519,left
11080152,2020-09-21T00:39:02.900,30.47,15.55,1.4,0.76,0.14,305.09,125.67,None,33234.0,Matthew Slater,18.0,WR,away,41,2020092013,519,left
11080153,2020-09-21T00:39:03.000,30.58,15.47,1.32,0.74,0.14,308.67,124.21,None,33234.0,Matthew Slater,18.0,WR,away,42,2020092013,519,left
11080154,2020-09-21T00:39:03.100,30.68,15.4,1.24,0.72,0.13,311.57,122.63,None,33234.0,Matthew Slater,18.0,WR,away,43,2020092013,519,left
11080155,2020-09-21T00:39:03.200,30.78,15.34,1.16,0.74,0.12,315.17,121.18,extra_point,33234.0,Matthew Slater,18.0,WR,away,44,2020092013,519,left
11080156,2020-09-21T00:39:03.300,30.87,15.29,1.01,0.92,0.1,317.88,120.84,None,33234.0,Matthew Slater,18.0,WR,away,45,2020092013,519,left
11080157,2020-09-21T00:39:03.400,30.96,15.24,0.93,0.92,0.1,322.18,116.2,None,33234.0,Matthew Slater,18.0,WR,away,46,2020092013,519,left
11080158,2020-09-21T00:39:03.500,31.05,15.21,0.91,0.79,0.1,328.49,111.27,None,33234.0,Matthew Slater,18.0,WR,away,47,2020092013,519,left
11080159,2020-09-21T00:39:03.600,31.14,15.18,0.91,0.76,0.09,334.69,104.64,None,33234.0,Matthew Slater,18.0,WR,away,48,2020092013,519,left
11080160,2020-09-21T00:39:03.700,31.23,15.16,0.94,0.7,0.09,341.23,99.31,None,33234.0,Matthew Slater,18.0,WR,away,49,2020092013,519,left
11080161,2020-09-21T00:39:03.800,31.32,15.15,0.96,0.69,0.09,349.17,94.3,None,33234.0,Matthew Slater,18.0,WR,away,50,2020092013,519,left
11080162,2020-09-21T00:39:03.900,31.42,15.15,0.99,0.71,0.1,357.0,89.87,None,33234.0,Matthew Slater,18.0,WR,away,51,2020092013,519,left
11080163,2020-09-21T00:39:04.000,31.52,15.15,1.04,0.68,0.1,4.06,85.35,None,33234.0,Matthew Slater,18.0,WR,away,52,2020092013,519,left
11080164,2020-09-21T00:39:04.100,31.62,15.17,1.07,0.67,0.1,11.44,80.2,None,33234.0,Matthew Slater,18.0,WR,away,53,2020092013,519,left
11080165,2020-09-21T00:38:58.900,25.69,24.54,0.0,0.0,0.0,324.34,35.47,None,35456.0,Mike Iupati,70.0,OG,home,1,2020092013,519,left
11080166,2020-09-21T00:38:59.000,25.69,24.54,0.0,0.0,0.0,324.34,35.66,None,35456.0,Mike Iupati,70.0,OG,home,2,2020092013,519,left
11080167,2020-09-21T00:38:59.100,25.69,24.55,0.0,0.0,0.0,325.37,35.66,None,35456.0,Mike Iupati,70.0,OG,home,3,2020092013,519,left
11080168,2020-09-21T00:38:59.200,25.69,24.55,0.0,0.0,0.0,325.37,34.56,None,35456.0,Mike Iupati,70.0,OG,home,4,2020092013,519,left
