gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,playResult,absoluteYardlineNumber
2018090600,658,"(5:03) M.Bryant 21 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",1,4,3,ATL,Kick Attempt Good,27091.0,,,PHI,3,05:03:00,,,,0,0,,21.0,0,13
2018090600,1368,"(6:12) J.Elliott 26 yard field goal is GOOD, Center-R.Lovato, Holder-C.Johnston.",2,4,8,PHI,Kick Attempt Good,44966.0,,,ATL,8,06:12:00,,,,0,3,,26.0,0,18
2018090600,1587,"(2:13) M.Bryant 52 yard field goal is GOOD, Center-J.Overbaugh, Holder-M.Bosher.",2,4,17,ATL,Kick Attempt Good,27091.0,,,PHI,34,02:13:00,,,,3,3,,52.0,0,76
2018090900,1226,"(13:18) (Field Goal formation) J.Tucker 41 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,4,13,BAL,Kick Attempt Good,39470.0,,,BUF,23,13:18:00,,,,14,0,,41.0,0,33
2018090900,1613,"(8:48) (Field Goal formation) S.Hauschka 52 yard field goal is No Good, Short, Center-R.Ferguson, Holder-C.Bojorquez.",2,4,9,BUF,Kick Attempt No Good,33469.0,,,BAL,34,08:48:00,,,,17,0,,52.0,-8,76
2018090900,1973,"(4:20) (Field Goal formation) J.Tucker 39 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",2,4,2,BAL,Kick Attempt Good,39470.0,,,BUF,21,04:20:00,,,,17,0,,39.0,0,31
2018090900,3461,"(2:42) (Field Goal formation) S.Hauschka 35 yard field goal is GOOD, Center-R.Ferguson, Holder-C.Bojorquez. Penalty on BAL-A.Levine, Defensive Offside, declined.",3,4,17,BUF,Kick Attempt Good,33469.0,,,BAL,17,02:42:00,DOF,BAL 41,0.0,40,0,,35.0,0,93
2018090901,5191,"(1:47) C.Boswell 42 yard field goal is No Good, Wide Left, Center-K.Canaday, Holder-J.Berry.",5,4,3,PIT,Kick Attempt No Good,41953.0,,,CLE,24,01:47:00,,,,21,21,,42.0,-8,34
2018090901,5480,"(:13) Z.Gonzalez 43 yard field goal is BLOCKED (T.Watt), Center-C.Hughlett, Holder-B.Colquitt.",5,3,11,CLE,Blocked Kick Attempt,45037.0,,44842.0,PIT,25,00:13:00,,,,21,21,,,-8,85
2018090902,394,"(8:25) R.Bullock 42 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",1,4,12,CIN,Kick Attempt Good,38691.0,,,IND,24,08:25:00,,,,0,0,,42.0,0,86
2018090902,757,"(1:27) A.Vinatieri 21 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",1,4,3,IND,Kick Attempt Good,21213.0,,,CIN,3,01:27:00,,,,0,3,,21.0,0,13
2018090902,1574,"(3:06) A.Vinatieri 38 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,4,5,IND,Kick Attempt Good,21213.0,,,CIN,20,03:06:00,,,,10,3,,38.0,0,90
2018090902,2084,"(:06) A.Vinatieri 51 yard field goal is GOOD, Center-L.Rhodes, Holder-R.Sanchez.",2,3,7,IND,Kick Attempt Good,21213.0,,,CIN,33,00:06:00,,,,13,10,,51.0,0,77
2018090902,3135,"(:17) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Rhodes, Holder-R.Sanchez.",3,4,14,IND,Kick Attempt No Good,21213.0,,,CIN,37,00:17:00,,,,23,17,,55.0,-8,47
2018090902,3873,"(4:01) R.Bullock 39 yard field goal is GOOD, Center-C.Harris, Holder-K.Huber.",4,4,10,CIN,Kick Attempt Good,38691.0,,,IND,21,04:01:00,,,,23,24,,39.0,0,31
2018090903,240,"(10:22) (Field Goal formation) R.Succop 47 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",1,4,4,TEN,Kick Attempt Good,34707.0,,,MIA,28,10:22:00,,,,0,0,,47.0,0,82
2018090903,2661,"(4:09) (Field Goal formation) J.Sanders 27 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",3,4,5,MIA,Kick Attempt Good,46298.0,,,TEN,9,04:09:00,,,,7,3,,27.0,0,19
2018090903,3690,"(3:53) (Field Goal formation) J.Sanders 30 yard field goal is GOOD, Center-J.Denney, Holder-M.Haack.",4,4,10,MIA,Kick Attempt Good,46298.0,,,TEN,12,03:53:00,,,,24,17,,30.0,0,98
2018090903,4143,"(:16) (Field Goal formation) R.Succop 53 yard field goal is GOOD, Center-B.Brinkley, Holder-B.Kern.",4,1,5,TEN,Kick Attempt Good,34707.0,,,MIA,35,00:16:00,,,,27,17,,53.0,0,45
2018090905,848,"(2:37) K.Fairbairn 42 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",1,4,17,HOU,Kick Attempt Good,43846.0,,,NE,24,02:37:00,,,,7,0,,42.0,0,34
2018090905,1378,"(9:03) K.Fairbairn 36 yard field goal is GOOD, Center-J.Weeks, Holder-T.Daniel.",2,4,14,HOU,Kick Attempt Good,43846.0,,,NE,19,09:03:00,,,,14,3,,36.0,0,91
2018090905,2883,"(6:05) S.Gostkowski 39 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",3,4,7,NE,Kick Attempt Good,30932.0,,,HOU,20,06:05:00,,,,21,6,,39.0,0,90
2018090905,3505,"(9:53) S.Gostkowski 35 yard field goal is GOOD, Center-J.Cardona, Holder-R.Allen.",4,4,14,NE,Kick Attempt Good,30932.0,,,HOU,17,09:53:00,,,,24,13,,35.0,0,27
2018090906,1270,"(11:17) C.Catanzaro 33 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",2,4,7,TB,Kick Attempt Good,41736.0,,,NO,15,11:17:00,,,,17,14,,33.0,0,25
2018090906,2539,"(11:29) C.Catanzaro 36 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Anger.",3,4,18,TB,Kick Attempt Good,41736.0,,,NO,18,11:29:00,,,,24,31,,36.0,0,28
2018090906,4096,"(4:57) C.Catanzaro 44 yard field goal is No Good, Wide Right, Center-G.Sanborn, Holder-B.Anger.",4,4,3,TB,Kick Attempt No Good,41736.0,,,NO,26,04:57:00,,,,32,48,,44.0,-8,84
2018090907,292,"(10:17) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",1,4,8,JAX,Kick Attempt Good,43068.0,,,NYG,21,10:17:00,,,,0,0,,39.0,0,31
2018090907,801,"(:26) A.Rosas 27 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",1,4,9,NYG,Kick Attempt Good,43937.0,,,JAX,9,00:26:00,,,,0,3,,27.0,0,101
2018090907,1201,"(7:22) J.Lambo 39 yard field goal is GOOD, Center-C.Tinker, Holder-L.Cooke.",2,4,20,JAX,Kick Attempt Good,43068.0,,,NYG,21,07:22:00,,,,3,3,,39.0,0,89
2018090907,1848,"(:07) A.Rosas 31 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",2,3,12,NYG,Kick Attempt Good,43937.0,,,JAX,13,00:07:00,,,,3,13,,31.0,0,23
2018090907,2248,"(9:23) A.Rosas 44 yard field goal is GOOD, Center-Z.DeOssie, Holder-R.Dixon.",3,4,3,NYG,Kick Attempt Good,43937.0,,,JAX,26,09:23:00,,,,6,13,,44.0,0,84
2018090909,3089,"(12:16) D.Hopkins 31 yard field goal is GOOD, Center-N.Sundberg, Holder-T.Way.",4,4,6,WAS,Kick Attempt Good,40125.0,,,ARI,13,12:16:00,,,,0,21,,31.0,0,23
2018090910,2008,"(:07) G.Gano 27 yard field goal is GOOD, Center-J.Jansen, Holder-M.Palardy.",2,3,5,CAR,Kick Attempt Good,35102.0,,,DAL,9,00:07:00,,,,7,0,,27.0,0,101
2018090910,2777,"(2:44) B.Maher 47 yard field goal is No Good, Wide Right, Center-L.Ladouceur, Holder-C.Jones.",3,4,10,DAL,Kick Attempt No Good,40775.0,,,CAR,29,02:44:00,,,,10,0,,47.0,-8,39
2018090912,836,"(15:00) C.Parkey 26 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.",2,4,8,CHI,Kick Attempt Good,41688.0,,,GB,8,15:00:00,,,,0,7,,26.0,0,102
2018090912,2143,"(9:18) C.Parkey 33 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.",3,4,9,CHI,Kick Attempt Good,41688.0,,,GB,15,09:18:00,,,,0,17,,33.0,0,95
2018090912,3486,"(2:42) C.Parkey 32 yard field goal is GOOD, Center-P.Scales, Holder-P.O'Donnell.",4,4,2,CHI,Kick Attempt Good,41688.0,,,GB,14,02:42:00,,,,17,20,,32.0,0,24
2018091000,946,"(15:00) J.Myers 35 yard field goal is GOOD, Center-T.Hennessy, Holder-L.Edwards.",2,4,6,NYJ,Kick Attempt Good,41175.0,,,DET,17,15:00:00,,,,7,7,,35.0,0,93
