gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsResult,kickerId,returnerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber
2018090600,37,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback.",1,0,0,PHI,Touchback,44966.0,,PHI,35,15:00:00,,,,0,0,66.0,,40,45
2018090600,677,"M.Bosher kicks 64 yards from ATL 35 to PHI 1. S.Gibson to PHI 31 for 30 yards (D.Kazee, D.Riley).",1,0,0,ATL,Return,37267.0,44979,ATL,35,05:01:00,,,,0,3,64.0,30.0,34,75
2018090600,1387,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback.",2,0,0,PHI,Touchback,44966.0,,PHI,35,06:09:00,,,,3,3,72.0,,40,75
2018090600,1606,"M.Bosher kicks 68 yards from ATL 35 to PHI -3. S.Gibson to PHI 10 for 13 yards (K.Ishmael). PENALTY on PHI-A.Maddox, Offensive Holding, 5 yards, enforced at PHI 10.",2,0,0,ATL,Return,37267.0,44979,ATL,35,02:08:00,OH,PHI 29,5.0,3,6,68.0,13.0,60,45
2018090600,2225,"M.Bosher kicks 65 yards from ATL 35 to end zone, Touchback.",3,0,0,ATL,Touchback,37267.0,,ATL,35,15:00:00,,,,3,6,71.0,,40,45
2018090600,2899,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback. PENALTY on PHI-N.Gerry, Unnecessary Roughness, 15 yards, enforced at ATL 25.",3,0,0,PHI,Touchback,44966.0,,PHI,35,04:37:00,UNRd,PHI 47,-15.0,10,6,75.0,,25,75
2018090600,3569,"M.Bosher kicks 65 yards from ATL 35 to end zone, Touchback.",4,0,0,ATL,Touchback,37267.0,,ATL,35,09:48:00,,,,10,12,70.0,,40,75
2018090600,4127,"J.Elliott kicks 65 yards from PHI 35 to end zone, Touchback.",4,0,0,PHI,Touchback,44966.0,,PHI,35,02:19:00,,,,18,12,73.0,,40,45
2018090900,36,"S.Hauschka kicks 69 yards from BUF 35 to BAL -4. J.Grant to BAL 20 for 24 yards (L.Pitts). Penalty on BAL-J.Allen, Unnecessary Roughness, offsetting, enforced at BAL 20. Penalty on BUF-L.Pitts, Face Mask (15 Yards), offsetting.",1,0,0,BUF,Return,33469.0,46532,BUF,35,15:00:00,UNR;FMM,BAL 37;BUF 30,0.0,0,0,69.0,24.0,45,75
2018090900,400,J.Tucker kicks 61 yards from BAL 35 to BUF 4. M.Murphy to BUF 32 for 28 yards (C.Board).,1,0,0,BAL,Return,39470.0,42573,BAL,35,08:42:00,,,,7,0,61.0,28.0,33,45
