,Name,Speed (yards/s),"Acceleration (Standardised [0, 1] Metric)","Agility (Standardised [0, 1] Metric)"
0,Aaron Donald,7.189933300192835,0.75,0.7857142857142857
1,Stephon Gilmore,8.066754434362693,0.8611111111111112,0.9285714285714286
2,Christian McCaffrey,8.066754434362693,0.8333333333333334,0.9821428571428571
3,Patrick Mahomes,7.102251186775849,0.6666666666666666,0.8214285714285714
4,Michael Thomas,7.803708094111736,0.8055555555555556,0.8928571428571429
5,DeAndre Hopkins,7.979072320945707,0.7777777777777778,0.8928571428571429
6,J.J. Watt,6.7515227331079055,0.5555555555555556,0.7678571428571429
7,Zack Martin,6.05006582577202,0.5,0.4107142857142857
8,George Kittle,7.7160259806947495,0.7222222222222222,0.75
9,Bobby Wagner,7.540661753860777,0.7222222222222222,0.7678571428571429
10,Russell Wilson,7.540661753860777,0.75,0.9107142857142857
11,Travis Kelce,7.452979640443792,0.6944444444444444,0.8035714285714286
12,Khalil Mack,7.540661753860777,0.7222222222222222,0.8035714285714286
13,Von Miller,7.6283438672777635,0.7222222222222222,0.8571428571428571
14,Julio Jones,8.066754434362693,0.7777777777777778,0.9107142857142857
15,Cameron Jordan,6.839204846524892,0.6111111111111112,0.6785714285714286
16,Fletcher Cox,6.839204846524892,0.6388888888888888,0.6428571428571429
17,Tyreek Hill,8.680529228281593,1.0,1.0
18,David Bakhtiari,6.137747939189005,0.4722222222222222,0.48214285714285715
19,Mitchell Schwartz,5.085562578185176,0.3055555555555556,0.35714285714285715
20,Harrison Smith,7.6283438672777635,0.7777777777777778,0.8928571428571429
21,Rob Gronkowski,7.102251186775849,0.6388888888888888,0.7142857142857143
22,Chandler Jones,6.926886959941878,0.6388888888888888,0.6964285714285714
23,Calais Campbell,6.313112166022977,0.5555555555555556,0.6785714285714286
24,Terron Armstead,7.014569073358863,0.6388888888888888,0.48214285714285715
25,Jalen Ramsey,7.979072320945707,0.8333333333333334,0.8571428571428571
26,Davante Adams,7.803708094111736,0.8055555555555556,0.8571428571428571
27,Lamar Jackson,8.417482888030635,0.9166666666666666,0.9464285714285714
28,Jason Kelce,6.400794279439962,0.5555555555555556,0.5714285714285714
29,Quenton Nelson,5.699337372104076,0.4166666666666667,0.5
30,Drew Brees,5.8747015989380476,0.25,0.4642857142857143
31,Amari Cooper,8.066754434362693,0.75,0.9642857142857143
32,Brandon Brooks,6.313112166022977,0.5555555555555556,0.4642857142857143
33,Tyrann Mathieu,7.891390207528721,0.8055555555555556,0.8928571428571429
34,Ronnie Stanley,5.787019485521062,0.4722222222222222,0.5892857142857143
35,Myles Garrett,7.452979640443792,0.75,0.7321428571428571
36,Derrick Henry,7.979072320945707,0.6944444444444444,0.75
37,Rodney Hudson,5.260926805019147,0.4166666666666667,0.32142857142857145
