nflId,height,weight,birthDate,collegeName,Position,displayName
42901,73.0,208,1992-07-25,James Madison,SS,Dean Marlowe
43501,72.0,220,1994-08-11,Central Michigan,FS,Kavon Frazier
43534,72.0,205,1993-06-02,Illinois,SS,Clayton Fejedelem
43535,73.0,235,1992-12-22,Temple,MLB,Tyler Matakevich
44174,73.0,236,1993-02-22,Texas Tech,ILB,Sam Eguavoen
44931,76.0,221,1993-09-16,North Carolina,WR,Mack Hollins
44985,68.0,173,1995-04-09,Georgia,WR,Isaiah McKenzie
45369,76.0,210,1995-08-14,Hawaii,WR,Marcus Kemp
45608,70.0,180,1994-10-23,Iowa State,CB,Jamal Perry
46223,72.0,205,1994-08-04,Jacksonville State,CB,Siran Neal
46298,71.0,186,1995-11-16,New Mexico,K,Jason Sanders
46303,72.0,240,1997-04-20,North Carolina,ILB,Andre Smith
46969,70.0,198,1994-12-05,Kent State,DB,Nate Holley
47934,76.0,242,1995-07-01,Wisconsin,OLB,Andrew Van Ginkel
47964,70.0,190,1995-11-13,Miami,FS,Jaquan Johnson
48008,78.0,253,1997-04-04,North Carolina A&amp;T,DE,Darryl Johnson
48449,77.0,264,1996-03-24,"Miami, O.",TE,Nate Becker
48482,72.0,237,1998-06-25,Texas A&amp;M,MLB,Tyrel Dodson
52438,71.0,196,1999-11-27,Auburn,CB,Noah Igbinoghene
52462,77.0,280,1998-09-15,Iowa,DE,A.J. Epenesa
52478,72.0,205,1998-04-02,Texas,FS,Brandon Jones
52536,75.0,213,1999-03-01,Central Florida,WR,Gabriel Davis
40096,73.0,240,1991-07-30,Iowa State,OLB,A.J. Klein
42924,78.0,325,1991-09-15,Idaho,T,Jesse Davis
43319,76.0,330,1994-06-14,Louisiana Tech,DT,Vernon Butler
43436,76.0,291,1993-03-31,Maryland,DT,Quinton Jefferson
43510,76.0,305,1993-03-15,Illinois,C,Ted Karras
44943,79.0,325,1995-01-09,Bucknell,T,Julien Davenport
45296,72.0,205,1994-07-25,Arizona State,P,Matt Haack
46085,77.0,250,1998-05-02,Virginia Tech,MLB,Tremaine Edmunds
46192,78.0,260,1995-08-09,Notre Dame,TE,Durham Smythe
46698,72.0,179,1995-06-12,Alabama,CB,Levi Wallace
47796,76.0,315,1995-12-20,Clemson,DE,Christian Wilkins
47861,78.0,310,1996-09-03,Wisconsin,C,Michael Deiter
52426,78.0,310,1999-08-11,Southern California,T,Austin Jackson
52447,77.0,322,1996-08-25,Louisiana-Lafayette,T,Robert Hunt
52593,75.0,235,1997-04-21,Louisiana State,LS,Blake Ferguson
52647,71.0,185,1996-11-29,Pittsburgh,CB,Dane Jackson
43308,75.0,267,1994-06-17,Clemson,OLB,Shaq Lawson
43321,76.0,275,1993-11-06,Oklahoma State,DE,Emmanuel Ogbah
43617,74.0,235,1994-03-24,Louisiana State,LS,Reid Ferguson
46307,78.0,290,1995-09-07,Ferris State,DE,Zach Sieler
46903,72.0,208,1996-09-13,New Mexico,P,Corey Bojorquez
52654,69.0,190,1997-04-19,Navy,RB,Malcolm Perry
38673,72.0,200,1987-12-15,Coastal Carolina,CB,Josh Norman
40166,72.0,191,1991-04-25,Oregon State,SS,Jordan Poyer
41276,78.0,259,1990-12-22,Stanford,DE,Trent Murphy
43638,75.0,292,1992-10-23,Ferris State,DT,Justin Zimmer
44976,72.0,223,1994-07-28,Boston College,OLB,Matt Milano
45590,72.0,245,1994-12-27,San Diego State,ILB,Calvin Munson
46190,71.0,192,1996-07-27,Weber State,CB,Taron Johnson
37234,78.0,265,1987-11-21,Marshall,TE,Lee Smith
40020,76.0,320,1991-07-10,Kent State,G,Brian Winters
42370,72.0,205,1992-09-26,Connecticut,CB,Byron Jones
42445,78.0,330,1992-08-31,Oklahoma,T,Daryl Williams
42471,76.0,323,1992-02-10,Miami,G,Jon Feliciano
44875,77.0,320,1994-04-26,Temple,T,Dion Dawkins
46165,75.0,307,1996-01-25,Stanford,DT,Harrison Phillips
46689,78.0,318,1994-10-05,Iowa,G,Ike Boettger
48512,76.0,300,1997-02-14,Penn State,C,Ryan Bates
52464,79.0,310,,Alabama,NT,Raekwon Davis
52596,70.0,185,1997-02-14,Georgia Southern,K,Tyler Bass
45186,70.0,190,1995-02-28,Georgia Southern,RB,Matt Breida
46695,75.0,255,1994-01-22,South Florida,DE,Mike Love
47879,76.0,254,1996-11-14,Mississippi,TE,Dawson Knox
52562,77.0,280,1996-09-10,North Carolina,DE,Jason Strowbridge
38470,73.0,234,1988-02-11,North Texas,ILB,Craig Robertson
39008,73.0,230,1990-09-02,Wagner,OLB,Julian Stanford
43689,71.0,184,1994-07-07,Georgia State,K,Wil Lutz
43942,73.0,180,1993-02-08,Colorado,CB,Ken Crawley
44123,74.0,215,1993-03-25,"Concordia, Minn",WR,Brandon Zylstra
44965,70.0,185,1994-10-09,Miami,CB,Corn Elder
45005,74.0,255,1994-05-17,West Georgia,FB,Alex Armah
45594,76.0,255,1993-12-15,Temple,TE,Colin Thompson
45648,73.0,200,1994-02-07,Illinois,CB,Justin Hardee
46170,75.0,260,1996-06-06,Indiana,TE,Ian Thomas
46273,71.0,185,1994-07-23,Virginia State,RB,Trenton Cannon
46378,72.0,202,1996-01-18,Mississippi State,SS,J.T. Gray
46686,69.0,190,1996-01-06,Penn State,CB,Grant Haley
48027,75.0,240,1995-06-10,Idaho,OLB,Kaden Elliss
48072,75.0,220,1993-05-20,Utah,OLB,Chase Hansen
48554,73.0,225,1996-11-16,Michigan State,LB,Andrew Dowell
50756,74.0,202,1999-01-08,West Virginia,FS,Kenny Robinson
52482,75.0,235,1996-12-30,Wisconsin,OLB,Zack Baun
52629,74.0,184,1998-06-04,Florida International,CB,Stantley Thomas-Oliver
52642,73.0,232,1996-08-08,Baylor,OLB,Clay Johnston
52852,71.0,211,1997-08-05,Mississippi,FS,Myles Hartsfield
52942,76.0,231,1996-09-13,Oregon,WR,Juwan Johnson
33557,74.0,235,1986-01-20,Notre Dame,LS,J.J. Jansen
41937,72.0,230,1990-09-21,Florida Atlantic,MLB,Adarius Taylor
43948,67.0,168,1992-10-24,Northern Illinois,WR,Tommylee Lewis
46230,72.0,225,1995-01-14,Maryland,OLB,Jermaine Carter
53146,77.0,190,1997-04-07,South Carolina,P,Joseph Charlton
34615,76.0,235,1986-03-08,Southern Methodist,P,Thomas Morstead
41357,73.0,205,1992-06-25,North Carolina,FS,Tre Boston
41532,77.0,310,1991-12-17,North Carolina,G,James Hurst
42331,78.0,265,1992-04-13,No College,DE,Efe Obada
42356,79.0,316,1993-11-04,Stanford,G,Andrus Peat
42368,72.0,230,1994-04-21,Washington,OLB,Shaq Thompson
42796,75.0,303,1992-06-16,Harvard,G,Nick Easton
44062,75.0,255,1993-01-10,Southern Methodist,LS,Zach Wood
44075,76.0,240,1994-03-04,Air Force,TE,Garrett Griffin
44844,78.0,314,1994-04-22,Wisconsin,T,Ryan Ramczyk
44911,74.0,209,1995-08-29,West Virginia,CB,Rasul Douglas
46124,70.0,180,1995-11-08,Louisiana State,CB,Donte Jackson
48538,76.0,335,1997-09-10,Villanova,T,Ethan Greenidge
52415,77.0,318,1998-04-15,Auburn,DT,Derrick Brown
52432,75.0,319,1999-06-14,Michigan,G,Cesar Ruiz
52446,77.0,264,1998-02-26,Penn State,DE,Yetur Gross-Matos
52472,75.0,212,1998-02-26,Southern Illinois,FS,Jeremy Chinn
52513,78.0,253,1997-02-05,Dayton,TE,Adam Trautman
52592,73.0,333,,Baylor,DT,Bravvion Roy
43406,71.0,207,1995-03-07,South Carolina,WR,Pharoh Cooper
44888,75.0,240,1994-09-22,Florida,ILB,Alex Anzalone
45244,74.0,221,1990-08-23,Brigham Young,QB,Taysom Hill
52939,75.0,210,1996-02-02,Temple,SS,Sam Franklin
34465,72.0,204,1987-12-20,Ohio State,SS,Malcolm Jenkins
37097,76.0,287,1989-07-10,California,DE,Cameron Jordan
41324,78.0,301,1990-11-15,Michigan,G,Michael Schofield
41707,76.0,325,1991-07-08,Utah State,C,Tyler Larsen
41919,74.0,334,1990-08-29,Delaware,DT,Zach Kerr
42302,78.0,255,1992-04-10,Canisius,TE,Chris Manhertz
42765,76.0,320,1992-07-22,Minn. State-Mankato,G,Chris Reed
43409,76.0,300,1992-11-13,"Manitoba, Can.",DT,David Onyemata
44876,77.0,325,1994-03-18,Western Michigan,T,Taylor Moton
44915,76.0,270,1994-12-05,Florida Atlantic,DE,Trey Hendrickson
46083,78.0,265,1996-09-04,Texas-San Antonio,DE,Marcus Davenport
48337,71.0,213,1996-04-10,Virginia Tech,K,Joey Slye
48537,77.0,261,1996-12-18,Wyoming,DE,Carl Granderson
48544,75.0,300,1995-10-20,Tennessee,DT,Shy Tuttle
48776,79.0,325,1997-03-17,Dartmouth,T,Matt Kaskey
45275,73.0,195,1993-12-25,Northwestern,WR,Austin Carr
46205,74.0,235,1993-12-16,Mississippi,DE,Marquis Haynes
43407,72.0,212,1993-08-04,North Carolina State,SS,Juston Burris
46743,75.0,265,1995-04-06,Purdue,DE,Austin Larkin
42437,72.0,216,1993-01-22,Stanford,RB,Ty Montgomery
32386,73.0,207,1984-09-03,Colorado,K,Mason Crosby
39952,77.0,235,1990-10-04,Louisiana State,OLB,Barkevious Mingo
39975,74.0,238,1991-03-17,Tennessee,WR,Cordarrelle Patterson
40615,79.0,230,1991-07-29,Wisconsin-Milwaukee,TE,Demetrius Harris
42869,73.0,254,1993-06-27,Stanford,OLB,James Vaughters
43357,71.0,186,1993-12-28,Mississippi State,SS,Will Redmond
43474,72.0,202,1993-04-13,William &amp; Mary,FS,DeAndre Houston-Carson
44009,75.0,240,1993-08-28,Pittsburgh,TE,J.P. Holtz
46157,75.0,233,1995-03-21,Vanderbilt,ILB,Oren Burks
46184,73.0,226,1995-10-12,Western Kentucky,ILB,Joel Iyiegbuniwe
46293,74.0,221,1994-09-11,Georgia,WR,Javon Wims
46781,74.0,237,1995-12-27,Oregon State,RB,Ryan Nall
46968,73.0,236,1996-07-01,Maryland,ILB,Josh Woods
47968,72.0,196,1994-09-18,Toledo,CB,Ka'dar Hollman
48009,73.0,240,1995-12-31,Texas Christian,ILB,Ty Summers
48182,75.0,236,1995-09-07,Arkansas,OLB,Randy Ramsey
48624,74.0,216,1995-12-21,Ferris State,WR,Malik Taylor
52451,78.0,258,1999-03-10,Notre Dame,TE,Cole Kmet
52583,75.0,245,1998-06-17,Minnesota,LB,Kamal Martin
52644,74.0,206,1997-09-11,Texas Christian,FS,Vernon Scott
52864,71.0,204,1997-01-03,Baylor,DB,Henry Black
53172,75.0,235,1997-06-03,Indiana State,TE,Dominique Dafney
37784,75.0,228,1988-02-11,Utah State,LS,Patrick Scales
41300,74.0,235,1992-08-31,Iowa,OLB,Christian Kirksey
41363,79.0,300,1991-05-05,Virginia,DT,Brent Urban
41420,76.0,212,1991-02-22,Miami,P,Pat O'Donnell
41475,75.0,305,1991-10-09,Boise State,T,Charles Leno
41991,68.0,160,1991-11-18,Tulane,K,Cairo Santos
43320,77.0,325,1994-06-02,Texas A&amp;M,G,Germain Ifedi
43337,78.0,301,1994-05-17,Indiana,T,Jason Spriggs
43426,78.0,296,1994-06-09,Northwestern,DE,Dean Lowry
43769,75.0,322,1994-06-24,Texas-San Antonio,DT,Brian Price
45505,77.0,326,1994-11-06,Old Dominion,T,Rashaad Coward
46438,75.0,315,1994-11-04,Northwestern,NT,Tyler Lancaster
46652,71.0,189,1996-08-07,Georgia State,CB,Chandon Sullivan
47795,77.0,277,1997-12-03,Michigan,OLB,Rashan Gary
48158,77.0,314,1995-09-08,Notre Dame,G,Alex Bars
48159,74.0,311,1996-08-13,Notre Dame,C,Sam Mustipher
52634,77.0,300,1996-01-30,Colorado,G,Arlington Hambright
35583,71.0,203,1987-12-19,Northwestern,SS,Sherrick McManis
44947,72.0,213,1995-04-03,Brigham Young,RB,Jamaal Williams
47978,71.0,185,1995-12-10,Central Michigan,CB,Xavier Crawford
52470,73.0,250,1998-05-02,Boston College,RB,A.J. Dillon
52563,76.0,268,1997-06-13,Tulsa,OLB,Trevis Gipson
53091,71.0,208,1996-05-17,Oregon State,RB,Artavis Pierce
38718,72.0,239,1990-03-24,Kentucky,ILB,Danny Trevathan
40030,75.0,327,1989-07-11,Georgia,NT,John Jenkins
41240,71.0,194,1992-02-16,Virginia Tech,CB,Kyle Fuller
42378,75.0,280,1994-01-25,Florida State,DT,Mario Edwards
44068,75.0,313,1993-07-30,Duke,G,Lucas Patrick
45382,78.0,329,1994-03-09,Michigan,G,Ben Braden
45635,77.0,237,1994-04-30,Indiana State,TE,Robert Tonyan
46214,75.0,313,1996-09-14,Delaware,NT,Bilal Nichols
46241,78.0,208,1995-10-30,Alabama,P,J.K. Scott
46308,75.0,240,1994-05-21,Mississippi State,LS,Hunter Bradley
47827,77.0,310,1995-12-26,Mississippi State,G,Elgton Jenkins
47988,68.0,183,1996-10-08,Kansas State,CB,Duke Shelley
48181,79.0,314,1996-01-02,Virginia Tech,T,Yosuah Nijman
52600,77.0,321,1997-08-08,Michigan,G,Jon Runyan
42485,72.0,214,1993-04-29,Penn State,FS,Adrian Amos
42794,68.0,190,1993-04-10,Sacramento State,WR,DeAndre Carter
52571,71.0,190,1997-12-11,Georgia Southern,CB,Kindle Vildor
52863,73.0,235,1998-04-02,UCLA,ILB,Krys Barnes
41231,75.0,269,1991-02-22,Buffalo,OLB,Khalil Mack
44925,72.0,202,1993-12-10,Alabama,SS,Eddie Jackson
36060,71.0,207,1987-03-27,Tennessee State,SS,Anthony Levine
38883,72.0,232,1990-01-03,Northern Iowa,OLB,L.J. Fort
40032,72.0,210,1991-05-13,Georgia,SS,Shawn Williams
42407,71.0,215,1993-01-21,Stanford,SS,Jordan Richards
43396,73.0,200,1993-06-16,Cincinnati,WR,Chris Moore
44859,75.0,240,1995-05-23,Houston,OLB,Tyus Bowser
44927,71.0,240,1995-09-16,Oklahoma,RB,Samaje Perine
45006,75.0,242,1995-01-27,Oklahoma,OLB,Jordan Evans
45020,70.0,200,1994-07-27,Houston,FS,Brandon Wilson
45217,75.0,248,1995-09-05,Nebraska,TE,Cethan Carter
45268,75.0,311,1994-05-27,Maine,FB,Patrick Ricard
46123,73.0,200,1997-02-26,Wake Forest,FS,Jessie Bates
46958,74.0,230,1995-07-23,North Dakota State,OLB,Chris Board
47855,74.0,245,1996-05-21,North Carolina State,OLB,Germaine Pratt
47876,76.0,220,1996-10-12,Notre Dame,WR,Miles Boykin
47896,70.0,200,1997-11-14,Oklahoma State,RB,Justice Hill
47953,69.0,214,1996-11-15,Oklahoma,K,Austin Seibert
48530,72.0,205,1996-09-07,Nebraska,WR,Stanley Morgan
52506,75.0,245,1998-03-05,Ohio State,OLB,Malik Harrison
52515,74.0,215,1997-09-21,Appalachian State,OLB,Akeem Davis-Gaither
52623,73.0,240,1997-03-07,Purdue,ILB,Markus Bailey
53059,75.0,239,1998-05-24,Iowa,LB,Kristian Welch
33131,80.0,300,1986-09-01,Miami,DT,Calais Campbell
36086,76.0,233,1986-04-26,Tennessee,LS,Morgan Cox
37778,73.0,235,1989-08-24,Auburn,ILB,Josh Bynes
39470,73.0,183,1989-11-21,Texas,K,Justin Tucker
39957,77.0,342,1991-03-13,Alabama,G,D.J. Fluker
40001,80.0,295,1987-07-14,Southern Methodist,DT,Margus Hunt
42559,74.0,305,1993-10-16,Rice,NT,Christian Covington
42721,78.0,263,1992-04-22,Texas-El Paso,TE,Eric Tomlinson
42744,74.0,309,1992-01-18,Northern Iowa,DT,Xavier Williams
43350,71.0,205,1994-12-12,Ohio State,SS,Vonn Bell
43446,72.0,203,1993-09-18,Southern Utah,CB,LeShaun Sims
43695,75.0,313,1993-02-17,Duke,C,Matt Skura
46146,77.0,265,1995-06-29,Ohio State,DE,Sam Hubbard
46152,80.0,345,1996-05-02,Oklahoma,T,Orlando Brown
46242,73.0,205,1995-02-14,Florida,P,Johnny Townsend
46267,75.0,320,1997-01-03,Tennessee,DT,Reginald McKenzie
46284,77.0,317,1994-11-24,Alabama,G,Bradley Bozeman
46724,72.0,198,1995-07-13,Alabama,CB,Tony Brown
47906,76.0,310,1996-10-29,Oklahoma,G,Ben Powers
52551,76.0,325,1998-02-20,Michigan,G,Ben Bredeson
45064,77.0,252,1993-11-04,Buffalo,TE,Mason Schreck
46259,73.0,210,1997-04-21,Texas,FS,DeShon Elliott
48630,72.0,192,1996-09-05,North Texas,DB,Nate Brooks
52555,76.0,265,1998-04-28,Notre Dame,DE,Khalid Kareem
32436,77.0,250,1984-07-10,Rutgers,LS,Clark Harris
34593,73.0,211,1985-07-16,Cincinnati,P,Kevin Huber
52500,71.0,210,1997-09-12,Texas,WR,Devin Duvernay
38566,77.0,285,1990-02-24,Cincinnati,DE,Derek Wolfe
