Game,Returner Name,Frechet Distance,Yards Gained,Yards Gained Percentage,Returning Team,Defending Team
0,Hunter Renfrow,8.152476158,2.93,3.701831965,LV,MIA
1,Devin Duvernay,8.145233657,19.96,19.84687282,BAL,NYG
2,Donovan Peoples-Jones,5.081850137,4.52,4.559669121,CLE,PIT
3,Cooper Kupp,11.70943835,8.59,9.550811652,LA,NYG
4,Nyheim Hines,4.016549296,18.27,27.42419694,IND,MIN
5,Diontae Spencer,7.316303696,9.07,7.901385138,DEN,TEN
6,Hunter Renfrow,3.002850436,10.27,9.097351404,LV,IND
7,Diontae Spencer,1.503176124,8.58,8.531371184,DEN,MIA
8,Hunter Renfrow,2.552205811,5.16,5.924225029,LV,NO
9,Greg Ward,5.630655551,6.07,6.091930951,PHI,SEA
10,Diontae Spencer,3.390217488,9.1,14.07579273,DEN,PIT
11,Nsimba Webster,10.99814032,4.2,4.57167737,LA,SF
12,Richie James,6.781619446,1.37,1.356569957,SF,WAS
13,Andre Roberts,2.786306741,7.1,6.415469414,BUF,MIA
14,Nyheim Hines,10.12140856,11.92,10.98212641,IND,NYJ
15,Trent Taylor,3.883306036,16.72,19.60600375,SF,MIA
16,Ray-Ray McCloud,5.16791957,2.12,2.144880615,PIT,BUF
17,Dwayne Harris,5.378664665,4.47,4.653826132,CHI,TEN
18,Steven Sims,5.239227254,2.38,2.214571508,WAS,PHI
19,Deonte Harris,5.612345592,16.4,19.09863748,NO,TB
20,Desmond King,3.409942622,7.85,8.908306854,LAC,JAX
21,Mecole Hardman,,4.81,4.491129785,KC,LAC
22,Pharoh Cooper,2.64938213,6.08,5.377199965,CAR,ARI
23,K.J. Hill,11.97752859,36.04,32.65971908,LAC,DEN
24,Hunter Renfrow,2.927791804,67.36,83.74984459,LV,DEN
25,James Proche,3.948849733,10.1,10.92837048,BAL,PHI
26,Donovan Peoples-Jones,5.505888767,2.13,1.957001103,CLE,PHI
27,Will Fuller,9.468375441,13.3,16.35111876,HOU,CLE
28,Gunner Olszewski,4.719200999,8.04,8.806133625,NE,NYJ
29,Jakeem Grant,3.869919489,9.2,8.485519277,MIA,DEN
30,Rudy Ford,8.004755531,1.68,1.595593124,PHI,NYG
31,Darrius Shepherd,6.087531205,3.95,3.632517933,GB,HOU
32,Andre Roberts,2.431875889,21.55,19.31003584,BUF,NYJ
33,D.J. Reed,3.803544726,12.29,12.25812886,SEA,PHI
34,Tommylee Lewis,4.269909585,8.77,12.23493304,NO,CAR
35,Mecole Hardman,10.70570037,3.67,3.640873016,KC,TB
36,James Proche,6.653879772,8.96,8.934091136,BAL,IND
